Date: 2018-01-26 18:59:44.253575

---Species concentrations--- 
Aldehyde : 0
Acid : 0
Ester : 4000
afEst2 : 10
Methanol : 0
Alcohol : 0

--- Parameters --- 
afest_km_ester : 1500
afest_kcat : 6

Time, Ester, Acid, 
0.0, 4000.0, 0.0, 
1.0, 3956.42882992, 43.5711700779, 
2.0, 3912.98917598, 87.0108240226, 
3.0, 3869.68275083, 130.317249168, 
4.0, 3826.5112936, 173.488706404, 
5.0, 3783.47657013, 216.523429868, 
6.0, 3740.58037313, 259.419626869, 
7.0, 3697.82452252, 302.175477482, 
8.0, 3655.21086608, 344.789133919, 
9.0, 3612.74127968, 387.258720318, 
10.0, 3570.41766758, 429.582332425, 
11.0, 3528.24196259, 471.758037412, 
12.0, 3486.21612613, 513.78387387, 
13.0, 3444.34214908, 555.657850918, 
14.0, 3402.62205189, 597.377948111, 
15.0, 3361.0578845, 638.942115503, 
16.0, 3319.65172694, 680.348273059, 
17.0, 3278.40568965, 721.594310351, 
18.0, 3237.32191345, 762.678086552, 
19.0, 3196.40256967, 803.597430328, 
20.0, 3155.64986079, 844.350139215, 
21.0, 3115.06602041, 884.933979589, 
22.0, 3074.653313, 925.346687001, 
23.0, 3034.41403455, 965.585965449, 
24.0, 2994.35051277, 1005.64948723, 
25.0, 2954.46510637, 1045.53489363, 
26.0, 2914.76020542, 1085.23979458, 
27.0, 2875.23823232, 1124.76176768, 
28.0, 2835.90164157, 1164.09835843, 
29.0, 2796.75291989, 1203.24708011, 
30.0, 2757.79458356, 1242.20541644, 
31.0, 2719.0291795, 1280.9708205, 
32.0, 2680.45928755, 1319.54071245, 
33.0, 2642.08751926, 1357.91248074, 
34.0, 2603.91651783, 1396.08348217, 
35.0, 2565.94895416, 1434.05104584, 
36.0, 2528.1875284, 1471.8124716, 
37.0, 2490.6349728, 1509.3650272, 
38.0, 2453.29404976, 1546.70595024, 
39.0, 2416.16755167, 1583.83244833, 
40.0, 2379.25829499, 1620.74170501, 
41.0, 2342.56912283, 1657.43087717, 
42.0, 2306.10290816, 1693.89709184, 
43.0, 2269.86255108, 1730.13744892, 
44.0, 2233.85097838, 1766.14902162, 
45.0, 2198.07113535, 1801.92886465, 
46.0, 2162.52598963, 1837.47401037, 
47.0, 2127.21853462, 1872.78146538, 
48.0, 2092.15178596, 1907.84821404, 
49.0, 2057.32878061, 1942.67121939, 
50.0, 2022.75256598, 1977.24743402, 
51.0, 1988.4262054, 2011.5737946, 
52.0, 1954.35278161, 2045.64721839, 
53.0, 1920.53539223, 2079.46460777, 
54.0, 1886.97714836, 2113.02285164, 
55.0, 1853.68116264, 2146.31883736, 
56.0, 1820.65055353, 2179.34944647, 
57.0, 1787.88844797, 2212.11155203, 
58.0, 1755.39797647, 2244.60202353, 
59.0, 1723.18226682, 2276.81773318, 
60.0, 1691.24444253, 2308.75555747, 
61.0, 1659.58762489, 2340.41237511, 
62.0, 1628.21492876, 2371.78507124, 
63.0, 1597.12945476, 2402.87054524, 
64.0, 1566.33428283, 2433.66571717, 
65.0, 1535.83248023, 2464.16751977, 
66.0, 1505.62709434, 2494.37290566, 
67.0, 1475.72114624, 2524.27885376, 
68.0, 1446.11762079, 2553.88237921, 
69.0, 1416.81947498, 2583.18052502, 
70.0, 1387.82963064, 2612.17036936, 
71.0, 1359.15096847, 2640.84903153, 
72.0, 1330.78631537, 2669.21368463, 
73.0, 1302.73845259, 2697.26154741, 
74.0, 1275.01010881, 2724.98989119, 
75.0, 1247.60395379, 2752.39604621, 
76.0, 1220.52258712, 2779.47741288, 
77.0, 1193.76853977, 2806.23146023, 
78.0, 1167.34427213, 2832.65572787, 
79.0, 1141.25216646, 2858.74783354, 
80.0, 1115.49451528, 2884.50548472, 
81.0, 1090.07352227, 2909.92647773, 
82.0, 1064.99129752, 2935.00870248, 
83.0, 1040.24985073, 2959.75014927, 
84.0, 1015.85108604, 2984.14891396, 
85.0, 991.796798652, 3008.20320135, 
86.0, 968.088665758, 3031.91133424, 
87.0, 944.728241349, 3055.27175865, 
88.0, 921.71695013, 3078.28304987, 
89.0, 899.056087303, 3100.9439127, 
90.0, 876.746819203, 3123.2531808, 
91.0, 854.79016848, 3145.20983152, 
92.0, 833.187013519, 3166.81298648, 
93.0, 811.938080179, 3188.06191982, 
94.0, 791.043939052, 3208.95606095, 
95.0, 770.505001657, 3229.49499834, 
96.0, 750.321516725, 3249.67848327, 
97.0, 730.493573044, 3269.50642696, 
98.0, 711.021088743, 3288.97891126, 
99.0, 691.903809972, 3308.09619003, 
100.0, 673.141309515, 3326.85869048, 
101.0, 654.732984725, 3345.26701528, 
102.0, 636.678054285, 3363.32194572, 
103.0, 618.975557094, 3381.02444291, 
104.0, 601.624354, 3398.375646, 
105.0, 584.623124894, 3415.37687511, 
106.0, 567.970368089, 3432.02963191, 
107.0, 551.664401519, 3448.33559848, 
108.0, 535.703365246, 3464.29663475, 
109.0, 520.085220124, 3479.91477988, 
110.0, 504.807750042, 3495.19224996, 
111.0, 489.868565073, 3510.13143493, 
112.0, 475.265103899, 3524.7348961, 
113.0, 460.994636097, 3539.0053639, 
114.0, 447.054265992, 3552.94573401, 
115.0, 433.44093694, 3566.55906306, 
116.0, 420.151435434, 3579.84856457, 
117.0, 407.182395981, 3592.81760402, 
118.0, 394.530306016, 3605.46969398, 
119.0, 382.191510923, 3617.80848908, 
120.0, 370.162220984, 3629.83777902, 
121.0, 358.438517441, 3641.56148256, 
122.0, 347.016357293, 3652.98364271, 
123.0, 335.891580957, 3664.10841904, 
124.0, 325.059920266, 3674.94007973, 
125.0, 314.517005005, 3685.48299499, 
126.0, 304.258367487, 3695.74163251, 
127.0, 294.279453364, 3705.72054664, 
128.0, 284.57562906, 3715.42437094, 
129.0, 275.142187534, 3724.85781247, 
130.0, 265.974354758, 3734.02564524, 
131.0, 257.067301069, 3742.93269893, 
132.0, 248.416147893, 3751.58385211, 
133.0, 240.015971832, 3759.98402817, 
134.0, 231.861814888, 3768.13818511, 
135.0, 223.948693043, 3776.05130696, 
136.0, 216.271602577, 3783.72839742, 
137.0, 208.825524261, 3791.17447574, 
138.0, 201.605433304, 3798.3945667, 
139.0, 194.606305516, 3805.39369448, 
140.0, 187.823123902, 3812.1768761, 
141.0, 181.250885281, 3818.74911472, 
142.0, 174.884606241, 3825.11539376, 
143.0, 168.719327282, 3831.28067272, 
144.0, 162.750120202, 3837.2498798, 
145.0, 156.972092966, 3843.02790703, 
146.0, 151.380394232, 3848.61960577, 
147.0, 145.970218604, 3854.0297814, 
148.0, 140.736810932, 3859.26318907, 
149.0, 135.67546996, 3864.32453004, 
150.0, 130.781552698, 3869.2184473, 
151.0, 126.050477847, 3873.94952215, 
152.0, 121.477728815, 3878.52227118, 
153.0, 117.058856909, 3882.94114309, 
154.0, 112.789483975, 3887.21051602, 
155.0, 108.665304864, 3891.33469514, 
156.0, 104.682089488, 3895.31791051, 
157.0, 100.83568478, 3899.16431522, 
158.0, 97.1220166109, 3902.87798339, 
159.0, 93.5370906618, 3906.46290934, 
160.0, 90.076993589, 3909.92300641, 
161.0, 86.7378938998, 3913.2621061, 
162.0, 83.5160439044, 3916.4839561, 
163.0, 80.4077794122, 3919.59222059, 
164.0, 77.4095198884, 3922.59048011, 
165.0, 74.517768844, 3925.48223116, 
166.0, 71.7291137375, 3928.27088626, 
167.0, 69.0402255229, 3930.95977448, 
168.0, 66.447858595, 3933.5521414, 
169.0, 63.9488513426, 3936.05114866, 
170.0, 61.5401241812, 3938.45987582, 
171.0, 59.2186791684, 3940.78132083, 
172.0, 56.9815998943, 3943.01840011, 
173.0, 54.8260499419, 3945.17395006, 
174.0, 52.7492717461, 3947.25072825, 
175.0, 50.7485861491, 3949.25141385, 
176.0, 48.8213911407, 3951.17860886, 
177.0, 46.9651600841, 3953.03483992, 
178.0, 45.1774408228, 3954.82255918, 
179.0, 43.4558548846, 3956.54414512, 
180.0, 41.7980952553, 3958.20190474, 
181.0, 40.2019251923, 3959.79807481, 
182.0, 38.6651773831, 3961.33482262, 
183.0, 37.1857518947, 3962.81424811, 
184.0, 35.7616146461, 3964.23838535, 
185.0, 34.390796385, 3965.60920362, 
186.0, 33.071391024, 3966.92860898, 
187.0, 31.8015538213, 3968.19844618, 
188.0, 30.5795001208, 3969.42049988, 
189.0, 29.4035040885, 3970.59649591, 
190.0, 28.2718967281, 3971.72810327, 
