Date: 2018-01-28 13:28:48.452097

---Species concentration bounds--- 
Ester : (3800.0, 4200.0)
afEst2 : (9.5, 10.5)

--- Parameters --- 
afest_kcat : (5, 7)
afest_km_ester : (1300, 1700)


--- Ester Uncertainty Analysis Quartiles ---
Time, Ester High, Ester Low, Ester Mean, 
0.0, 4177.03213533, 3822.62786524, 3999.86919771, 
1.0, 4128.5535526, 3783.36998748, 3956.2754977, 
2.0, 4087.12676398, 3744.6541269, 3912.81474038, 
3.0, 4042.72251642, 3704.96779591, 3869.48869676, 
4.0, 3999.39516174, 3664.30857547, 3826.29916629, 
5.0, 3958.5515737, 3619.27206312, 3783.24797718, 
6.0, 3914.89981747, 3575.61633769, 3740.33698644, 
7.0, 3874.95426816, 3531.14523249, 3697.56808035, 
8.0, 3837.34945614, 3485.99141721, 3654.94317507, 
9.0, 3797.37394295, 3441.01531777, 3612.46421703, 
10.0, 3757.28320097, 3396.21944693, 3570.13318316, 
11.0, 3717.18487862, 3351.60635606, 3527.95208111, 
12.0, 3676.86788297, 3307.178636, 3485.92294964, 
13.0, 3637.64185564, 3262.93891691, 3444.04785895, 
14.0, 3601.87996198, 3218.88986855, 3402.32891107, 
15.0, 3564.30499294, 3170.798936, 3360.76824022, 
16.0, 3525.15625895, 3122.34671771, 3319.36801301, 
17.0, 3486.13459856, 3074.11974301, 3278.13042872, 
18.0, 3447.24897643, 3026.12187414, 3237.05771952, 
19.0, 3408.47157227, 2978.35704695, 3196.15215075, 
20.0, 3369.72003935, 2930.8292715, 3155.41602112, 
21.0, 3331.11121603, 2883.54263183, 3114.85166283, 
22.0, 3292.64680969, 2836.50128793, 3074.46144171, 
23.0, 3255.19716435, 2790.19759449, 3034.24775752, 
24.0, 3219.46222058, 2743.08346597, 2994.21304403, 
25.0, 3183.86103968, 2696.5094899, 2954.35976905, 
26.0, 3149.05164211, 2650.33232398, 2914.69043433, 
27.0, 3114.93925657, 2604.42417132, 2875.20757579, 
28.0, 3080.27219511, 2558.7897025, 2835.91376348, 
29.0, 3043.16198085, 2513.50980382, 2796.8116011, 
30.0, 3008.31085547, 2471.37566245, 2757.90372607, 
31.0, 2973.72089383, 2429.85374664, 2719.1928094, 
32.0, 2939.27359466, 2388.60044562, 2680.68155587, 
33.0, 2904.97050928, 2347.60868717, 2642.37270281, 
34.0, 2870.81320305, 2306.88251023, 2604.26902068, 
35.0, 2836.80325658, 2266.42600847, 2566.3733121, 
36.0, 2802.94226519, 2226.24332769, 2528.68841137, 
37.0, 2769.23183872, 2186.33865764, 2491.2171839, 
38.0, 2735.67360134, 2146.71622529, 2453.96252571, 
39.0, 2702.2691914, 2107.380312, 2416.92736302, 
40.0, 2669.02026125, 2065.65912764, 2380.11465027, 
41.0, 2635.92847696, 2022.35718944, 2343.52737067, 
42.0, 2602.99551815, 1979.41833932, 2307.16853471, 
43.0, 2570.2230777, 1936.84893133, 2271.04117831, 
44.0, 2537.61286153, 1897.27508048, 2235.14836239, 
45.0, 2505.16658775, 1858.68201948, 2199.49317152, 
46.0, 2472.88598677, 1820.59796954, 2164.07871218, 
