Date: 2018-01-28 13:59:07.881063

---Species concentration bounds--- 
afEst2 : (9.5, 10.5)
Ester : (3800.0, 4200.0)

--- Parameters --- 
afest_km_ester : (1300, 1700)
afest_kcat : (5, 7)


--- Ester Uncertainty Analysis Quartiles ---
Time, Ester High, Ester Low, Ester Mean, 
0.0, 4178.69246303, 3820.53676141, 3999.99293445, 
1.0, 4135.01782525, 3778.22746011, 3956.40598439, 
2.0, 4086.99128776, 3734.21158056, 3912.9517971, 
3.0, 4038.32922801, 3686.77676464, 3869.63213855, 
4.0, 3991.3405876, 3639.68263753, 3826.44880297, 
5.0, 3955.13366552, 3597.81890805, 3783.40361322, 
6.0, 3918.65433806, 3557.57894914, 3740.49842081, 
7.0, 3879.88326257, 3517.47934689, 3697.73510642, 
8.0, 3835.33396853, 3477.52181048, 3655.1155805, 
9.0, 3791.04692844, 3435.85562304, 3612.6417836, 
10.0, 3757.35922858, 3392.25351546, 3570.31568664, 
11.0, 3723.76490308, 3348.8161854, 3528.13929114, 
12.0, 3690.26485202, 3305.49140112, 3486.1146295, 
13.0, 3656.85998481, 3262.06504911, 3444.24376553, 
14.0, 3623.55122012, 3218.78534277, 3402.52879479, 
15.0, 3590.33948619, 3175.68316834, 3360.97184478, 
16.0, 3555.46989843, 3132.761126, 3319.57507537, 
17.0, 3519.63404961, 3090.02185733, 3278.34067897, 
18.0, 3481.99585374, 3047.46804557, 3237.27088068, 
19.0, 3444.47824442, 3002.21069275, 3196.36793866, 
20.0, 3407.08267369, 2955.45751268, 3155.63414432, 
21.0, 3369.81061317, 2908.96469609, 3115.07182252, 
22.0, 3332.66355411, 2862.90395954, 3074.68333171, 
23.0, 3295.64300759, 2817.13070272, 3034.47106408, 
24.0, 3258.75050491, 2771.62886813, 2994.43744575, 
25.0, 3221.98759764, 2726.40243045, 2954.58493671, 
26.0, 3185.35585759, 2681.45541802, 2914.91603107, 
27.0, 3148.85687678, 2636.7919089, 2875.43325687, 
28.0, 3114.60100697, 2593.07642175, 2836.13917625, 
29.0, 3080.60443121, 2552.52956285, 2797.0363851, 
30.0, 3046.73012638, 2512.23590314, 2758.12751338, 
31.0, 3012.9794721, 2472.19872286, 2719.41522441, 
32.0, 2979.35386378, 2432.42132859, 2680.90221468, 
33.0, 2945.85471305, 2392.90705253, 2642.59121396, 
34.0, 2912.48344762, 2353.65925139, 2604.48498523, 
35.0, 2879.24151124, 2311.80711752, 2566.58632365, 
36.0, 2846.13036386, 2270.06458684, 2528.89805575, 
37.0, 2813.1514802, 2228.63824667, 2491.42303987, 
38.0, 2780.30634982, 2187.53248338, 2454.16416531, 
39.0, 2747.5964794, 2146.83316158, 2417.12435163, 
40.0, 2715.02339159, 2106.48404885, 2380.30654719, 
41.0, 2682.58862502, 2066.46652763, 2343.7137289, 
42.0, 2650.29373435, 2026.7850485, 2307.34890118, 
