Date: 2018-01-30 21:50:00.212320

---Species concentration bounds--- 
Ester : (2660.0, 2940.0)
afEst2 : (9.5, 10.5)

--- Parameters --- 
afest_kcat : (5, 7)
afest_km_ester : (1300, 1700)

Quartile range = 95
Number of samples = 1000

2 parameters and 2 species in uncertainty analysis
4 variables in total
4^2 = 16
4^3 = 64
1000 samples made by lhc


--- Ester Uncertainty Analysis Quartiles ---
Time, Ester High, Ester Low, Ester Mean, 
0.0, 2925.95628755, 2674.22600461, 2800.00059923, 
1.0, 2888.32981511, 2636.295244, 2761.00778482, 
2.0, 2847.42305966, 2597.88295204, 2722.20935364, 
3.0, 2809.04075756, 2559.51971709, 2683.60796775, 
4.0, 2770.95106387, 2520.00097882, 2645.2063229, 
5.0, 2734.37989035, 2480.46629894, 2607.00714831, 
6.0, 2697.71388903, 2439.95508755, 2569.01320635, 
7.0, 2660.81605738, 2399.69994881, 2531.22729219, 
8.0, 2625.35835811, 2359.40178162, 2493.65223345, 
9.0, 2590.28004897, 2319.34394622, 2456.29088962, 
10.0, 2555.29521183, 2278.86860539, 2419.14615159, 
11.0, 2523.73233691, 2237.04757254, 2382.22094096, 
12.0, 2488.96612826, 2198.12588885, 2345.51820937, 
13.0, 2455.55165174, 2159.73028788, 2309.04093767, 
14.0, 2420.78889787, 2121.04458604, 2272.79213505, 
15.0, 2387.43495081, 2081.07659098, 2236.77483817, 
16.0, 2356.14031667, 2041.8098806, 2200.99210978, 
17.0, 2322.40973038, 2003.36850124, 2165.44703782, 
18.0, 2288.95342691, 1965.63404376, 2130.14273412, 
19.0, 2257.99574943, 1927.0207748, 2095.08233279, 
20.0, 2226.45173456, 1889.41882134, 2060.26898893, 
21.0, 2193.87637067, 1852.49774993, 2025.7058768, 
22.0, 2162.85588248, 1815.87337292, 1991.3961881, 
23.0, 2132.95513531, 1779.4983054, 1957.34313012, 
24.0, 2103.16265837, 1742.23228101, 1923.54992345, 
25.0, 2073.85344023, 1704.49866292, 1890.01980014, 
26.0, 2043.62729332, 1667.88216438, 1856.75600102, 
27.0, 2013.80284322, 1630.59942137, 1823.76177332, 
28.0, 1983.82271355, 1594.7621512, 1791.04036809, 
29.0, 1954.03468064, 1558.98766024, 1758.59503719, 
30.0, 1924.34560067, 1525.69394032, 1726.42903052, 
31.0, 1895.00811712, 1491.55708836, 1694.54559265, 
32.0, 1865.91090512, 1456.00416177, 1662.9479598, 
33.0, 1836.97334522, 1422.10710272, 1631.639356, 
34.0, 1809.39220852, 1389.50885362, 1600.6229895, 
35.0, 1781.02102583, 1356.8313614, 1569.9020491, 
36.0, 1751.57632598, 1323.22508092, 1539.47969972, 
37.0, 1722.84018374, 1290.00430557, 1509.35907879, 
38.0, 1695.17280169, 1257.21999286, 1479.54329143, 
39.0, 1668.52667308, 1224.87711173, 1450.03540591, 
40.0, 1642.09262785, 1192.20813168, 1420.83844916, 
41.0, 1615.82434166, 1160.14149121, 1391.95540169, 
42.0, 1589.69944305, 1130.26100848, 1363.38919281, 
43.0, 1562.11796551, 1100.33413807, 1335.14269522, 
44.0, 1534.66558336, 1071.17597425, 1307.21871973, 
45.0, 1507.51497631, 1041.3854923, 1279.62001009, 
46.0, 1481.64650733, 1012.94030755, 1252.3492372, 
47.0, 1457.13186396, 984.98499157, 1225.40899343, 
48.0, 1433.86822267, 957.805902719, 1198.80178714, 
49.0, 1408.44830173, 931.24833578, 1172.53003672, 
50.0, 1382.89160369, 905.07511346, 1146.5960648, 
51.0, 1357.63281612, 879.403509888, 1121.00209237, 
52.0, 1332.57929591, 853.754354716, 1095.75023295, 
53.0, 1307.78147836, 829.079366529, 1070.84248656, 
54.0, 1284.413072, 804.939809237, 1046.28073405, 
55.0, 1260.25811527, 780.167336975, 1022.06673126, 
56.0, 1237.50732219, 755.497714603, 998.202103597, 
57.0, 1216.50789449, 731.335614283, 974.688340064, 
58.0, 1195.50888581, 707.81965983, 951.526788161, 
59.0, 1172.38271082, 685.415919336, 928.718648507, 
60.0, 1149.41073156, 663.490241928, 906.264969863, 
61.0, 1126.69270289, 642.042444743, 884.166644514, 
62.0, 1104.23022483, 621.066167842, 862.424403548, 
63.0, 1082.86325053, 600.16937352, 841.038812645, 
64.0, 1062.41332235, 579.817933046, 820.010267968, 
65.0, 1041.46058466, 559.973647371, 799.33899306, 
66.0, 1021.30080263, 540.620078615, 779.025035322, 
67.0, 1000.5636571, 521.759826643, 759.068263063, 
68.0, 980.935428598, 504.160692458, 739.468363361, 
69.0, 961.547787327, 486.989740996, 720.22483999, 
70.0, 942.401370523, 470.274585996, 701.337011992, 
71.0, 923.496752913, 452.931336351, 682.804012465, 
72.0, 905.085010613, 435.981482903, 664.624788158, 
73.0, 886.954610786, 419.516494976, 646.798099437, 
74.0, 869.061273164, 403.531124115, 629.322520531, 
75.0, 850.962082683, 388.019746348, 612.196440513, 
76.0, 832.616207661, 372.976373396, 595.418064803, 
77.0, 815.170779406, 359.361909751, 578.985417142, 
78.0, 797.969307922, 345.68662723, 562.896341942, 
79.0, 780.99431779, 331.939002118, 547.148507075, 
80.0, 764.257549611, 318.631330601, 531.739407339, 
81.0, 747.59998313, 306.048603459, 516.666368243, 
82.0, 730.96360175, 293.918247111, 501.926550235, 
83.0, 714.314459779, 282.204633688, 487.516953512, 
84.0, 697.87594552, 271.110903463, 473.434422902, 
85.0, 682.54551734, 260.419922759, 459.675653321, 
86.0, 667.016050429, 250.101261635, 446.237195631, 
87.0, 652.556908585, 239.94857042, 433.115462573, 
88.0, 637.264187231, 230.127594324, 420.306735224, 
89.0, 622.236755492, 220.609163286, 407.807169576, 
90.0, 607.882919054, 211.346095638, 395.612803319, 
91.0, 593.753713247, 202.420791586, 383.719562806, 
92.0, 579.865391904, 193.824651527, 372.123270323, 
93.0, 566.216856132, 185.586238947, 360.819651327, 
94.0, 552.681145486, 177.678214927, 349.804341754, 
95.0, 539.197714897, 170.266094287, 339.072895513, 
96.0, 526.075574059, 163.131557993, 328.620791912, 
97.0, 513.827219742, 156.266560727, 318.44344306, 
98.0, 501.608646321, 149.373305559, 308.536201306, 
99.0, 489.406794833, 142.79949121, 298.894366651, 
